service_id,full_name,rank,position_title,subdivision,phone
UNIT-0260,Забашта Володимир Микитович,рядовий,зв'язківець,1-ша механізована рота,+380 76 896 27 06
UNIT-0261,Хомик Тимофій Аркадійович,старший лейтенант,командир роти,3-тя механізована рота,+380 76 665-67-49
UNIT-0262,Безбородько Едуард Азарович,рядовий,стрілець,1-ша механізована рота,043 992 01 16
UNIT-0263,Тесля Панас Омелянович,старшина,старшина роти,2-га механізована рота,116-86-46
UNIT-0264,Дрозд Валерій Ігнатович,сержант,командир відділення,2-га механізована рота,509 37 71
UNIT-0265,Акименко Амвросій Георгійович,рядовий,санітар-інструктор,2-га механізована рота,076 20 91
UNIT-0266,Луценко Павло Стефанович,рядовий,снайпер,1-ша механізована рота,+380 93 289-80-27
UNIT-0267,Величко Гліб Яковович,старшина,старшина роти,2-га механізована рота,+380 15 399 15 66
UNIT-0268,Цісик Спас Владиславович,молодший сержант,командир відділення,Взвод забезпечення,+380 28 993-16-08
UNIT-0269,Швайка Давид Борисович,старший сержант,командир відділення,Взвод забезпечення,002 764-20-86
UNIT-0270,Приймак Єлисей Романович,старший сержант,старшина роти,2-га механізована рота,033 305 91 26
UNIT-0271,Хомик Остап Яремович,рядовий,стрілець,2-га механізована рота,+380 (17) 647-50-11
UNIT-0272,Ващенко Богодар Максимович,старший сержант,заступник командира взводу,1-ша механізована рота,688-87-18
UNIT-0273,Гречаник Ростислав Стефанович,сержант,командир відділення,3-тя механізована рота,060 340 84 87
UNIT-0274,Давимука Мирон Максимович,рядовий,навідник,2-га механізована рота,+380 62 671-46-28
UNIT-0275,Забара Антон Петрович,рядовий,оператор БПЛА,Взвод забезпечення,554 23 40
UNIT-0276,Вишняк Іван Віталійович,рядовий,навідник,1-ша механізована рота,+380 (79) 240-82-22
UNIT-0277,Скирда Людмила Альбертівна,рядовий,сапер,Управління батальйону,487 06 82
UNIT-0278,Щорс Леонтій Миколайович,сержант,старшина роти,2-га механізована рота,+380 (25) 153-81-44
UNIT-0279,Юрчук Григорій Геннадійович,молодший сержант,заступник командира взводу,3-тя механізована рота,167-31-88
UNIT-0280,Дашкевич Едуард Богодарович,рядовий,водій,2-га механізована рота,013 402-66-50
UNIT-0281,Демʼянюк Орест Венедиктович,рядовий,оператор БПЛА,3-тя механізована рота,+380 (90) 674-47-16
UNIT-0282,Кибкало Олекса Бориславович,рядовий,зв'язківець,Взвод забезпечення,066 84 33
UNIT-0283,Полтавець Єлисей Макарович,рядовий,водій,1-ша механізована рота,624 75 54
UNIT-0284,Гавриш Артем Прохорович,старшина,заступник командира взводу,Управління батальйону,+380 73 820-23-68
UNIT-0285,Ковпак Франц Тарасович,рядовий,оператор БПЛА,3-тя механізована рота,+380 (86) 694-32-02
UNIT-0286,Захарченко Михайло Святославович,рядовий,навідник,2-га механізована рота,595-51-84
UNIT-0287,Гуцуляк Едуард Остапович,молодший сержант,заступник командира взводу,2-га механізована рота,+380 (27) 365-27-17
UNIT-0288,Ейбоженко Костянтин Варфоломійович,рядовий,водій,1-ша механізована рота,100-23-14
UNIT-0289,Данильчук Ярослав Петрович,рядовий,зв'язківець,1-ша механізована рота,184-18-62
UNIT-0290,Абрамчук Юстим Віталійович,рядовий,кулеметник,1-ша механізована рота,+380 92 624-94-51
UNIT-0291,Левченко Христина Панасівна,молодший сержант,заступник командира взводу,3-тя механізована рота,+380 (95) 236-68-78
UNIT-0292,Яремчук Максим Михайлович,старший сержант,заступник командира взводу,1-ша механізована рота,047 286 33 30
UNIT-0293,Ґоляш Богодар Святославович,рядовий,зв'язківець,3-тя механізована рота,084 765 70 41
UNIT-0294,Дейнека Амвросій Панасович,рядовий,сапер,1-ша механізована рота,+380 (28) 917-75-66
UNIT-0295,Дерегус Альберт Федорович,старшина,заступник командира взводу,1-ша механізована рота,990 97 00
UNIT-0296,Оніщук Арсен Давидович,старший солдат,санітар-інструктор,2-га механізована рота,+380 11 332 28 89
UNIT-0297,Прокопович Климент Трохимович,старший солдат,зв'язківець,2-га механізована рота,+380 24 214-95-51
UNIT-0298,Безбородько Валерій Семенович,сержант,старшина роти,2-га механізована рота,+380 40 903 80 21
UNIT-0299,Матвієнко Іван Вадимович,рядовий,сапер,Управління батальйону,+380 37 147 08 27
UNIT-0300,Данькевич Олесь Вікторович,рядовий,кулеметник,1-ша механізована рота,+380 68 342 01 65
