service_id,rank,last_name,first_name,patronymic,full_name,gender,position_index,position_title,subdivision,position_assigned_date,arrived_from,enrollment_date,enrollment_order_date,enrollment_order_number,appointment_order_date,appointment_order_issuer,appointment_order_number,rank_order_date,rank_order_issuer,rank_order_number,service_type,contract_start_date,contract_end_date,conscription_period,rnokpp,id_document_type,id_document_series,id_document_number,birth_date,birth_place,service_entry_date,service_entry_authority,education,relatives_info,additional_info,phone
UNIT-0076,старший лейтенант,Яремків,Лариса,Данівна,Яремків Лариса Данівна,жіноча,00-004,командир взводу,Управління батальйону,2025-12-20,Навчальний центр «Десна»,2025-05-17,2025-05-20,№976,2025-12-22,командир батальйону,№147,2026-03-08,командувач Сухопутних військ ЗСУ,№36,військова служба за мобілізацією,,,на весь період мобілізації,3741672434,Паспорт громадянина України (ID-картка),,519398280,2002-01-03,хутір Трускавець,2025-05-07,Личаківський РТЦК та СП м. Львова,повна загальна середня,"дружина/чоловік — Сніжана, діти — 1",володіє англійською мовою (розмовний рівень),797 96 88
UNIT-0077,рядовий,Фесенко,Марко,Азарович,Фесенко Марко Азарович,чоловіча,02-021,оператор БПЛА,2-га механізована рота,2026-05-13,121 окрема бригада ТрО,2025-03-22,2025-03-24,№666,2026-05-16,начальник штабу батальйону,№256,2026-06-21,командир батальйону,№27,військова служба за контрактом,2025-03-17,2030-03-17,,9656101438,Паспорт громадянина України (книжечка),МН,113529,1973-08-11,хутір Кілія,2025-03-17,Личаківський РТЦК та СП м. Львова,професійно-технічна,"дружина/чоловік — Ігор, діти — 1",має посвідчення водія категорії C,+380 98 250 71 46
UNIT-0078,рядовий,Вдовенко,Богдан,Яковович,Вдовенко Богдан Яковович,чоловіча,01-018,сапер,1-ша механізована рота,2024-11-12,Навчальний центр Сухопутних військ,2023-05-21,2023-05-24,№177,2024-11-13,командувач Сухопутних військ ЗСУ,№90,2024-09-05,начальник штабу батальйону,№684,військова служба за мобілізацією,,,на весь період мобілізації,5140105123,Паспорт громадянина України (ID-картка),,573875717,2001-05-20,село Ірміно,2023-05-10,Соборний РТЦК та СП м. Дніпра,вища,"дружина/чоловік — Олена, діти — 1",проходить строкову медичну комісію,+380 36 226 60 93
UNIT-0079,лейтенант,Чміль,Михайло,Климентович,Чміль Михайло Климентович,чоловіча,03-033,командир роти,3-тя механізована рота,2025-07-01,Навчальний центр «Десна»,2025-06-28,2025-06-30,№243,2025-07-05,командувач Сухопутних військ ЗСУ,№27,2025-11-29,начальник штабу батальйону,№568,військова служба за мобілізацією,,,на весь період мобілізації,7147859696,Паспорт громадянина України (ID-картка),,341918255,1984-01-03,селище Кам'янка-Бузька,2025-06-16,Київський РТЦК та СП Полтавської області,професійно-технічна,"дружина/чоловік — Теодор, діти — 2",володіє англійською мовою (розмовний рівень),+380 92 499 12 51
UNIT-0080,рядовий,Каденюк,Данило,Богданович,Каденюк Данило Богданович,чоловіча,02-022,оператор БПЛА,2-га механізована рота,2025-04-24,новобранець (мобілізація),2023-09-23,2023-09-26,№461,2025-04-27,командувач Сухопутних військ ЗСУ,№697,2024-04-21,начальник штабу батальйону,№132,військова служба за контрактом,2023-09-15,2024-09-15,,6278282742,Паспорт громадянина України (книжечка),ЛХ,866929,1996-09-15,селище Хуст,2023-09-15,Київський РТЦК та СП Полтавської області,базова вища,неодружений(а),має досвід роботи з БПЛА,+380 90 507 23 68
UNIT-0081,лейтенант,Ґжицький,Онисим,Мартинович,Ґжицький Онисим Мартинович,чоловіча,03-034,командир взводу,3-тя механізована рота,2026-05-23,Навчальний центр «Десна»,2025-08-31,2025-08-31,№355,2026-05-27,начальник штабу батальйону,№867,2026-02-24,командир батальйону,№257,військова служба за мобілізацією,,,на весь період мобілізації,3404384279,Паспорт громадянина України (книжечка),ЛЧ,677219,1972-09-11,місто Остер,2025-08-18,Личаківський РТЦК та СП м. Львова,базова вища,"дружина/чоловік — Вікторія, діти — 1",,+380 85 807-83-61
UNIT-0082,молодший сержант,Кибкало,Гліб,Азарович,Кибкало Гліб Азарович,чоловіча,02-023,старшина роти,2-га механізована рота,2026-04-12,121 окрема бригада ТрО,2025-12-31,2026-01-01,№863,2026-04-13,командир батальйону,№846,2026-05-06,командир батальйону,№84,військова служба за контрактом,2025-12-22,2030-12-22,,9233095849,Паспорт громадянина України (ID-картка),,171339596,1981-11-21,селище Сімферополь,2025-12-22,Шевченківський РТЦК та СП м. Києва,вища,дружина/чоловік — Марина,має посвідчення водія категорії C,+380 94 812-60-42
UNIT-0083,молодший сержант,Гупало,Вʼячеслав,Борисович,Гупало Вʼячеслав Борисович,чоловіча,02-024,заступник командира взводу,2-га механізована рота,2025-06-14,запас (повторний призов),2024-12-04,2024-12-06,№416,2025-06-19,начальник штабу батальйону,№465,2026-07-04,командир батальйону,№706,базова військова служба,,,12 місяців,7116845775,Паспорт громадянина України (книжечка),ЮЮ,672946,1996-02-15,місто Сокиряни,2024-11-20,Шевченківський РТЦК та СП м. Києва,повна загальна середня,"дружина/чоловік — Роксолана, діти — 1",,+380 18 636-37-45
UNIT-0084,сержант,Макаренко,Демʼян,Несторович,Макаренко Демʼян Несторович,чоловіча,03-035,старшина роти,3-тя механізована рота,2025-09-13,121 окрема бригада ТрО,2023-04-18,2023-04-20,№248,2025-09-16,командувач Сухопутних військ ЗСУ,№126,2025-04-27,начальник штабу батальйону,№461,військова служба за мобілізацією,,,на весь період мобілізації,2770632424,Паспорт громадянина України (книжечка),ТГ,500170,1979-01-18,селище Дружківка,2023-04-05,Личаківський РТЦК та СП м. Львова,повна загальна середня,неодружений(а),володіє англійською мовою (розмовний рівень),520 64 36
UNIT-0085,старший солдат,Верменич,Панас,Артемович,Верменич Панас Артемович,чоловіча,02-025,навідник,2-га механізована рота,2024-01-04,Навчальний центр Сухопутних військ,2022-03-12,2022-03-14,№528,2024-01-08,командувач Сухопутних військ ЗСУ,№511,2026-03-19,начальник штабу батальйону,№510,військова служба за контрактом,2022-02-27,2023-02-27,,6271361115,Паспорт громадянина України (ID-картка),,129387005,1978-10-20,селище Верхівцеве,2022-02-27,Шевченківський РТЦК та СП м. Києва,повна загальна середня,дружина/чоловік — Сніжана,,021 890 92 75
UNIT-0086,рядовий,Засуха,Олександр,Степанович,Засуха Олександр Степанович,чоловіча,03-036,оператор БПЛА,3-тя механізована рота,2025-03-18,Навчальний центр Сухопутних військ,2023-06-18,2023-06-21,№138,2025-03-20,начальник штабу батальйону,№745,2026-01-21,начальник штабу батальйону,№783,військова служба за мобілізацією,,,на весь період мобілізації,5234138999,Паспорт громадянина України (ID-картка),,731121965,1999-10-25,місто Черкаси,2023-06-09,Приморський РТЦК та СП м. Одеси,професійно-технічна,дружина/чоловік — Теодор,,+380 38 983-64-03
UNIT-0087,рядовий,Яценко,Ігнат,Богданович,Яценко Ігнат Богданович,чоловіча,01-019,оператор БПЛА,1-ша механізована рота,2026-05-11,121 окрема бригада ТрО,2024-03-26,2024-03-28,№814,2026-05-15,начальник штабу батальйону,№572,2024-07-02,начальник штабу батальйону,№774,військова служба за контрактом,2024-03-14,2025-03-14,,5827109104,Паспорт громадянина України (книжечка),ГН,805526,1999-03-27,місто Берестечко,2024-03-14,Личаківський РТЦК та СП м. Львова,повна загальна середня,дружина/чоловік — Симон,,+380 (84) 866-61-88
UNIT-0088,старший сержант,Дашенко,Герман,Аркадійович,Дашенко Герман Аркадійович,чоловіча,04-004,старшина роти,Взвод забезпечення,2024-12-20,Навчальний центр «Десна»,2024-10-20,2024-10-21,№403,2024-12-24,начальник штабу батальйону,№608,2025-11-14,начальник штабу батальйону,№520,військова служба за контрактом,2024-10-13,2025-10-13,,4630316179,Паспорт громадянина України (книжечка),ФЛ,328569,1975-02-04,селище Роздільна,2024-10-13,Київський РТЦК та СП Полтавської області,професійно-технічна,дружина/чоловік — Єва,,020 27 58
UNIT-0089,капітан,Конопленко,Валентин,Ігнатович,Конопленко Валентин Ігнатович,чоловіча,04-005,командир батальйону,Взвод забезпечення,2026-06-05,переведення з іншої військової частини,2023-03-29,2023-03-29,№592,2026-06-09,командир бригади,№739,2026-07-20,командир батальйону,№598,військова служба за мобілізацією,,,на весь період мобілізації,7785079252,Паспорт громадянина України (ID-картка),,410564814,1975-11-03,місто Ялта,2023-03-25,Приморський РТЦК та СП м. Одеси,повна загальна середня,"дружина/чоловік — Мирон, діти — 1",,380 00 30
UNIT-0090,рядовий,Шовкопляс,Зиновій,Едуардович,Шовкопляс Зиновій Едуардович,чоловіча,01-020,кулеметник,1-ша механізована рота,2024-03-12,Навчальний центр Сухопутних військ,2023-06-08,2023-06-08,№514,2024-03-15,командувач Сухопутних військ ЗСУ,№894,2023-07-29,командир батальйону,№723,військова служба за мобілізацією,,,на весь період мобілізації,4195180238,Паспорт громадянина України (книжечка),ЧЖ,863536,1992-05-14,хутір Білгород-Дністровський,2023-06-05,Личаківський РТЦК та СП м. Львова,професійно-технічна,"дружина/чоловік — Федір, діти — 1",,+380 44 518 70 53
UNIT-0091,рядовий,Матяш,Миколай,Трохимович,Матяш Миколай Трохимович,чоловіча,02-026,снайпер,2-га механізована рота,2026-04-27,запас (повторний призов),2024-09-30,2024-10-02,№271,2026-05-02,командувач Сухопутних військ ЗСУ,№197,2026-01-21,командир бригади,№286,військова служба за контрактом,2024-09-25,2029-09-25,,6038505064,Паспорт громадянина України (ID-картка),,375973832,1971-01-11,село Новий Калинів,2024-09-25,Київський РТЦК та СП Полтавської області,професійно-технічна,"дружина/чоловік — Володимир, діти — 1",має посвідчення водія категорії C,+380 (70) 241-03-86
UNIT-0092,старший солдат,Сич,Костянтин,Степанович,Сич Костянтин Степанович,чоловіча,03-037,оператор БПЛА,3-тя механізована рота,2025-05-09,Навчальний центр Сухопутних військ,2022-11-19,2022-11-21,№918,2025-05-11,командувач Сухопутних військ ЗСУ,№839,2023-04-11,начальник штабу батальйону,№978,військова служба за мобілізацією,,,на весь період мобілізації,4456557431,Паспорт громадянина України (ID-картка),,826199062,1986-09-15,село Тисмениця,2022-11-14,Личаківський РТЦК та СП м. Львова,професійно-технічна,неодружений(а),має посвідчення водія категорії C,212 77 56
UNIT-0093,старший солдат,Годунок,Максим,Зорянович,Годунок Максим Зорянович,чоловіча,03-038,сапер,3-тя механізована рота,2025-11-13,121 окрема бригада ТрО,2023-12-12,2023-12-15,№141,2025-11-14,командир батальйону,№631,2025-03-23,командир бригади,№249,військова служба за мобілізацією,,,на весь період мобілізації,3521356804,Паспорт громадянина України (книжечка),ТЧ,741124,1973-05-04,село Баранівка,2023-12-01,Шевченківський РТЦК та СП м. Києва,базова вища,дружина/чоловік — Ілля,,+380 88 317 12 10
UNIT-0094,старший солдат,Батіг,Стефан,Тимофійович,Батіг Стефан Тимофійович,чоловіча,01-021,навідник,1-ша механізована рота,2024-08-05,121 окрема бригада ТрО,2024-01-15,2024-01-16,№329,2024-08-08,начальник штабу батальйону,№662,2024-11-17,командир батальйону,№930,військова служба за контрактом,2024-01-15,2027-01-15,,0137215107,Паспорт громадянина України (книжечка),ЖЩ,651994,1975-09-12,село Остер,2024-01-15,Шевченківський РТЦК та СП м. Києва,базова вища,неодружений(а),має посвідчення водія категорії C,+380 (67) 066-25-32
UNIT-0095,рядовий,Литвин,Герман,Леонтійович,Литвин Герман Леонтійович,чоловіча,01-022,навідник,1-ша механізована рота,2023-07-29,запас (повторний призов),2023-06-06,2023-06-07,№986,2023-07-29,начальник штабу батальйону,№898,2026-01-08,командир батальйону,№10,базова військова служба,,,12 місяців,0146263838,Паспорт громадянина України (книжечка),РЕ,993476,2003-03-12,хутір Тлумач,2023-05-31,Соборний РТЦК та СП м. Дніпра,базова вища,неодружений(а),має досвід роботи з БПЛА,+380 78 759-85-64
UNIT-0096,майор,Дутка,Адам,Демидович,Дутка Адам Демидович,чоловіча,02-027,командир батальйону,2-га механізована рота,2024-02-27,121 окрема бригада ТрО,2024-01-13,2024-01-16,№167,2024-02-28,командувач Сухопутних військ ЗСУ,№664,2025-03-16,начальник штабу батальйону,№736,військова служба за контрактом,2024-01-05,2027-01-05,,1334803965,Паспорт громадянина України (книжечка),ЮГ,078593,1981-06-16,село Довжанськ,2024-01-05,Личаківський РТЦК та СП м. Львова,повна загальна середня,"дружина/чоловік — Маруся, діти — 3",має посвідчення водія категорії C,+380 90 599-29-37
UNIT-0097,старшина,Оберемко,Валерій,Максимович,Оберемко Валерій Максимович,чоловіча,01-023,заступник командира взводу,1-ша механізована рота,2022-11-21,Навчальний центр «Десна»,2022-07-04,2022-07-07,№489,2022-11-25,начальник штабу батальйону,№959,2022-09-16,командир бригади,№7,військова служба за мобілізацією,,,на весь період мобілізації,5932525002,Паспорт громадянина України (книжечка),ГЕ,393087,1970-08-22,місто Шептицький,2022-06-21,Соборний РТЦК та СП м. Дніпра,професійно-технічна,"дружина/чоловік — Розалія, діти — 1",,569 15 45
UNIT-0098,рядовий,Ґерета,Вадим,Соломонович,Ґерета Вадим Соломонович,чоловіча,03-039,зв'язківець,3-тя механізована рота,2026-07-29,переведення з іншої військової частини,2025-11-23,2025-11-24,№946,2026-07-29,начальник штабу батальйону,№707,2026-05-20,командир батальйону,№655,військова служба за контрактом,2025-11-12,2028-11-12,,6442209690,Паспорт громадянина України (книжечка),НЦ,528953,1982-07-12,селище Устилуг,2025-11-12,Соборний РТЦК та СП м. Дніпра,професійно-технічна,неодружений(а),має досвід роботи з БПЛА,091 725-13-55
UNIT-0099,старший солдат,Джус,Олесь,Арсенович,Джус Олесь Арсенович,чоловіча,01-024,зв'язківець,1-ша механізована рота,2025-12-20,запас (повторний призов),2025-01-08,2025-01-11,№773,2025-12-24,командир батальйону,№539,2025-01-10,командувач Сухопутних військ ЗСУ,№541,військова служба за контрактом,2025-01-02,2026-01-02,,7626765861,Паспорт громадянина України (ID-картка),,433154100,1996-11-09,село Вознесенськ,2025-01-02,Соборний РТЦК та СП м. Дніпра,повна загальна середня,"дружина/чоловік — Орися, діти — 2",володіє англійською мовою (розмовний рівень),040 54 11
UNIT-0100,старший солдат,Проценко,Валентин,Ігорович,Проценко Валентин Ігорович,чоловіча,02-028,навідник,2-га механізована рота,2023-11-06,новобранець (мобілізація),2023-07-13,2023-07-16,№921,2023-11-06,командувач Сухопутних військ ЗСУ,№829,2025-11-03,командир батальйону,№465,військова служба за контрактом,2023-07-08,2028-07-08,,2015336884,Паспорт громадянина України (ID-картка),,159970629,2000-02-22,селище Довжанськ,2023-07-08,Личаківський РТЦК та СП м. Львова,професійно-технічна,"дружина/чоловік — Варвара, діти — 1",,698-72-05
UNIT-0101,рядовий,Аверченко,Єлисей,Арсенович,Аверченко Єлисей Арсенович,чоловіча,01-025,сапер,1-ша механізована рота,2026-06-10,запас (повторний призов),2024-09-09,2024-09-09,№66,2026-06-15,командир батальйону,№958,2026-01-23,командир батальйону,№957,військова служба за мобілізацією,,,на весь період мобілізації,4171467741,Паспорт громадянина України (книжечка),ОМ,973103,1982-03-22,село Кипуче,2024-08-27,Приморський РТЦК та СП м. Одеси,повна загальна середня,"дружина/чоловік — Феофан, діти — 3",має досвід роботи з БПЛА,+380 (52) 704-77-43
UNIT-0102,старший солдат,Лагода,Миколай,Амвросійович,Лагода Миколай Амвросійович,чоловіча,03-040,санітар-інструктор,3-тя механізована рота,2026-05-31,переведення з іншої військової частини,2023-06-15,2023-06-18,№137,2026-06-03,начальник штабу батальйону,№122,2026-04-09,командир бригади,№551,військова служба за мобілізацією,,,на весь період мобілізації,8687937416,Паспорт громадянина України (ID-картка),,115869380,1996-12-08,село Буча,2023-06-08,Приморський РТЦК та СП м. Одеси,професійно-технічна,дружина/чоловік — Орися,має посвідчення водія категорії C,023 320 61 63
UNIT-0103,старший солдат,Данько,Лілія,Давидівна,Данько Лілія Давидівна,жіноча,03-041,снайпер,3-тя механізована рота,2023-02-08,запас (повторний призов),2022-09-26,2022-09-29,№784,2023-02-09,командир батальйону,№33,2024-05-14,командувач Сухопутних військ ЗСУ,№630,військова служба за мобілізацією,,,на весь період мобілізації,0998616229,Паспорт громадянина України (книжечка),ИЖ,868548,2001-10-09,місто Олевськ,2022-09-20,Шевченківський РТЦК та СП м. Києва,повна загальна середня,неодружений(а),,485 64 67
UNIT-0104,сержант,Штепа,Азар,Валерійович,Штепа Азар Валерійович,чоловіча,03-042,командир відділення,3-тя механізована рота,2025-05-09,новобранець (мобілізація),2024-07-01,2024-07-01,№144,2025-05-12,начальник штабу батальйону,№240,2024-10-17,начальник штабу батальйону,№592,військова служба за мобілізацією,,,на весь період мобілізації,0745054447,Паспорт громадянина України (книжечка),ЩЩ,996065,1986-10-06,село Вашківці,2024-06-28,Київський РТЦК та СП Полтавської області,вища,дружина/чоловік — Марта,має досвід роботи з БПЛА,+380 54 691 37 36
UNIT-0105,старший солдат,Ющенко,Руслан,Миронович,Ющенко Руслан Миронович,чоловіча,01-026,сапер,1-ша механізована рота,2025-06-12,запас (повторний призов),2025-04-30,2025-05-01,№391,2025-06-17,начальник штабу батальйону,№714,2026-06-04,командувач Сухопутних військ ЗСУ,№419,військова служба за контрактом,2025-04-30,2030-04-30,,9023303070,Паспорт громадянина України (книжечка),МХ,214862,2006-04-10,село Жмеринка,2025-04-30,Личаківський РТЦК та СП м. Львова,професійно-технічна,неодружений(а),,+380 78 610-35-79
UNIT-0106,рядовий,Червоненко,Валерій,Кирилович,Червоненко Валерій Кирилович,чоловіча,02-029,навідник,2-га механізована рота,2025-11-20,Навчальний центр «Десна»,2025-02-26,2025-03-01,№398,2025-11-20,командир бригади,№262,2025-06-21,командир бригади,№339,військова служба за контрактом,2025-02-14,2028-02-14,,3346800722,Паспорт громадянина України (ID-картка),,414060293,1985-08-28,село Дубляни,2025-02-14,Шевченківський РТЦК та СП м. Києва,вища,"дружина/чоловік — Марʼяна, діти — 3",проходить строкову медичну комісію,+380 66 574-37-48
UNIT-0107,рядовий,Тесленко,Мирослав,Орхипович,Тесленко Мирослав Орхипович,чоловіча,01-027,стрілець,1-ша механізована рота,2025-06-05,переведення з іншої військової частини,2022-03-31,2022-03-31,№223,2025-06-06,командувач Сухопутних військ ЗСУ,№214,2024-08-12,начальник штабу батальйону,№311,військова служба за контрактом,2022-03-18,2027-03-18,,3283096520,Паспорт громадянина України (ID-картка),,417154544,1990-12-05,селище Дунаївці,2022-03-18,Шевченківський РТЦК та СП м. Києва,повна загальна середня,неодружений(а),має посвідчення водія категорії C,+380 (66) 099-35-38
UNIT-0108,старший сержант,Шухевич,Юстим,Прохорович,Шухевич Юстим Прохорович,чоловіча,01-028,командир відділення,1-ша механізована рота,2026-04-22,121 окрема бригада ТрО,2025-03-24,2025-03-25,№390,2026-04-25,командувач Сухопутних військ ЗСУ,№547,2025-11-01,начальник штабу батальйону,№316,базова військова служба,,,12 місяців,5135346554,Паспорт громадянина України (ID-картка),,282417248,1983-01-20,хутір Чернівці,2025-03-13,Соборний РТЦК та СП м. Дніпра,професійно-технічна,"дружина/чоловік — Віолетта, діти — 3",,+380 09 991 73 81
UNIT-0109,лейтенант,Скоробогатько,Макар,Данилович,Скоробогатько Макар Данилович,чоловіча,01-029,начальник штабу батальйону,1-ша механізована рота,2025-09-24,новобранець (мобілізація),2025-09-04,2025-09-07,№268,2025-09-24,командувач Сухопутних військ ЗСУ,№303,2026-07-27,командир бригади,№201,військова служба за контрактом,2025-08-30,2026-08-30,,1752500743,Паспорт громадянина України (ID-картка),,223569725,1982-11-13,село Миронівка,2025-08-30,Соборний РТЦК та СП м. Дніпра,повна загальна середня,"дружина/чоловік — Валентина, діти — 2",,096 666 76 00
UNIT-0110,рядовий,Жук,Пилип,Ігнатович,Жук Пилип Ігнатович,чоловіча,01-030,оператор БПЛА,1-ша механізована рота,2025-01-14,Навчальний центр «Десна»,2022-04-19,2022-04-22,№144,2025-01-17,командувач Сухопутних військ ЗСУ,№189,2023-11-21,командир батальйону,№537,військова служба за мобілізацією,,,на весь період мобілізації,9421044789,Паспорт громадянина України (ID-картка),,003354216,2004-11-05,хутір Южноукраїнськ,2022-04-08,Шевченківський РТЦК та СП м. Києва,вища,неодружений(а),проходить строкову медичну комісію,057 532 60 33
UNIT-0111,рядовий,Гунько,Віктор,Соломонович,Гунько Віктор Соломонович,чоловіча,01-031,навідник,1-ша механізована рота,2024-11-17,новобранець (мобілізація),2022-05-16,2022-05-17,№633,2024-11-17,командувач Сухопутних військ ЗСУ,№676,2024-06-24,командувач Сухопутних військ ЗСУ,№17,військова служба за контрактом,2022-05-03,2023-05-03,,9010016761,Паспорт громадянина України (книжечка),ПМ,215064,1973-11-25,хутір Сіверськ,2022-05-03,Шевченківський РТЦК та СП м. Києва,професійно-технічна,"дружина/чоловік — Данна, діти — 3",,004 618-49-92
UNIT-0112,рядовий,Фесенко,Василина,Максимівна,Фесенко Василина Максимівна,жіноча,02-030,санітар-інструктор,2-га механізована рота,2024-05-20,переведення з іншої військової частини,2023-03-08,2023-03-09,№540,2024-05-20,начальник штабу батальйону,№835,2023-08-20,начальник штабу батальйону,№274,базова військова служба,,,12 місяців,3564208737,Паспорт громадянина України (книжечка),ЗЖ,173934,2006-03-12,село Алмазна,2023-02-24,Приморський РТЦК та СП м. Одеси,повна загальна середня,дружина/чоловік — Аліна,має досвід роботи з БПЛА,197 21 81
UNIT-0113,сержант,Вітрук,Хома,Гаврилович,Вітрук Хома Гаврилович,чоловіча,03-043,командир відділення,3-тя механізована рота,2026-01-31,запас (повторний призов),2024-02-22,2024-02-22,№10,2026-01-31,командир бригади,№85,2025-05-16,командувач Сухопутних військ ЗСУ,№866,військова служба за мобілізацією,,,на весь період мобілізації,5561100225,Паспорт громадянина України (книжечка),РБ,470120,1990-05-15,хутір Полтава,2024-02-12,Приморський РТЦК та СП м. Одеси,базова вища,дружина/чоловік — Георгій,володіє англійською мовою (розмовний рівень),552 16 67
UNIT-0114,рядовий,Лемешко,Соломія,Романівна,Лемешко Соломія Романівна,жіноча,02-031,оператор БПЛА,2-га механізована рота,2026-06-13,переведення з іншої військової частини,2026-03-24,2026-03-24,№674,2026-06-13,командир батальйону,№184,2026-07-23,начальник штабу батальйону,№17,військова служба за контрактом,2026-03-20,2029-03-20,,2965902771,Паспорт громадянина України (ID-картка),,212021697,2000-05-30,хутір Бердичів,2026-03-20,Личаківський РТЦК та СП м. Львова,базова вища,"дружина/чоловік — Андрій, діти — 1",володіє англійською мовою (розмовний рівень),+380 50 899-35-88
UNIT-0115,молодший сержант,Верховинець,Єфрем,Пилипович,Верховинець Єфрем Пилипович,чоловіча,02-032,старшина роти,2-га механізована рота,2026-05-07,запас (повторний призов),2024-04-19,2024-04-22,№742,2026-05-12,командир батальйону,№513,2025-09-25,начальник штабу батальйону,№55,військова служба за контрактом,2024-04-06,2027-04-06,,8772175354,Паспорт громадянина України (книжечка),ШД,628900,1981-04-10,село Новоселиця,2024-04-06,Шевченківський РТЦК та СП м. Києва,професійно-технічна,"дружина/чоловік — Сніжана, діти — 2",має досвід роботи з БПЛА,+380 (31) 779-71-77
UNIT-0116,старший сержант,Онуфрієнко,Богодар,Мартинович,Онуфрієнко Богодар Мартинович,чоловіча,03-044,командир відділення,3-тя механізована рота,2023-03-14,Навчальний центр «Десна»,2022-04-30,2022-05-02,№697,2023-03-17,командувач Сухопутних військ ЗСУ,№88,2025-09-24,начальник штабу батальйону,№818,військова служба за мобілізацією,,,на весь період мобілізації,8837550375,Паспорт громадянина України (книжечка),НО,608801,1991-04-28,селище Славутич,2022-04-20,Личаківський РТЦК та СП м. Львова,вища,неодружений(а),,+380 11 305 54 88
UNIT-0117,молодший сержант,Сімашкевич,Павло,Орхипович,Сімашкевич Павло Орхипович,чоловіча,03-045,старшина роти,3-тя механізована рота,2026-05-15,121 окрема бригада ТрО,2022-07-22,2022-07-24,№780,2026-05-17,начальник штабу батальйону,№105,2023-03-28,командир бригади,№90,військова служба за мобілізацією,,,на весь період мобілізації,3163735160,Паспорт громадянина України (книжечка),КП,726149,1983-12-05,хутір Львів,2022-07-16,Личаківський РТЦК та СП м. Львова,професійно-технічна,дружина/чоловік — Опанас,,070 808 69 78
UNIT-0118,рядовий,Доценко,Петро,Олесьович,Доценко Петро Олесьович,чоловіча,01-032,зв'язківець,1-ша механізована рота,2024-03-16,переведення з іншої військової частини,2023-08-30,2023-09-02,№927,2024-03-16,командир бригади,№586,2024-01-24,командир бригади,№702,військова служба за мобілізацією,,,на весь період мобілізації,9346547226,Паспорт громадянина України (книжечка),ВШ,699586,1999-01-31,селище Сколе,2023-08-17,Приморський РТЦК та СП м. Одеси,повна загальна середня,неодружений(а),,033 945-22-88
UNIT-0119,рядовий,Пʼятаченко,Панас,Богданович,Пʼятаченко Панас Богданович,чоловіча,03-046,сапер,3-тя механізована рота,2026-05-10,запас (повторний призов),2025-02-28,2025-03-02,№508,2026-05-13,командир бригади,№469,2026-03-02,командир батальйону,№139,військова служба за контрактом,2025-02-22,2028-02-22,,8106200342,Паспорт громадянина України (книжечка),ЗШ,996846,1971-06-19,селище Винники,2025-02-22,Соборний РТЦК та СП м. Дніпра,повна загальна середня,"дружина/чоловік — Тарас, діти — 1",проходить строкову медичну комісію,438-05-71
UNIT-0120,рядовий,Іваничук,Роман,Панасович,Іваничук Роман Панасович,чоловіча,03-047,навідник,3-тя механізована рота,2025-12-21,Навчальний центр Сухопутних військ,2025-06-20,2025-06-22,№992,2025-12-25,начальник штабу батальйону,№299,2026-07-17,командувач Сухопутних військ ЗСУ,№991,базова військова служба,,,12 місяців,0439735989,Паспорт громадянина України (книжечка),ЛЕ,406665,1974-04-04,село Звенигородка,2025-06-16,Київський РТЦК та СП Полтавської області,вища,"дружина/чоловік — Орися, діти — 1",,012 281 60 64
UNIT-0121,рядовий,Короленко,Віра,Вадимівна,Короленко Віра Вадимівна,жіноча,02-033,снайпер,2-га механізована рота,2024-05-06,Навчальний центр Сухопутних військ,2024-04-28,2024-04-28,№817,2024-05-11,начальник штабу батальйону,№852,2025-09-21,командир батальйону,№839,військова служба за мобілізацією,,,на весь період мобілізації,9851583281,Паспорт громадянина України (ID-картка),,720259094,2003-12-23,хутір Новодружеськ,2024-04-26,Приморський РТЦК та СП м. Одеси,базова вища,неодружений(а),,+380 (15) 335-55-43
UNIT-0122,рядовий,Шутько,Микита,Юхимович,Шутько Микита Юхимович,чоловіча,00-005,санітар-інструктор,Управління батальйону,2023-03-26,переведення з іншої військової частини,2022-04-04,2022-04-07,№411,2023-03-26,командувач Сухопутних військ ЗСУ,№557,2025-03-02,командир батальйону,№810,військова служба за мобілізацією,,,на весь період мобілізації,4840858877,Паспорт громадянина України (ID-картка),,739930561,1996-11-07,селище Яремче,2022-03-23,Соборний РТЦК та СП м. Дніпра,вища,дружина/чоловік — Онисим,,058 112-88-01
UNIT-0123,сержант,Запорожець,Орест,Петрович,Запорожець Орест Петрович,чоловіча,02-034,командир відділення,2-га механізована рота,2025-10-16,Навчальний центр Сухопутних військ,2023-12-28,2023-12-28,№991,2025-10-20,начальник штабу батальйону,№989,2024-05-27,командувач Сухопутних військ ЗСУ,№109,базова військова служба,,,12 місяців,1024819346,Паспорт громадянина України (ID-картка),,386120750,1976-07-20,хутір Привілля,2023-12-18,Шевченківський РТЦК та СП м. Києва,повна загальна середня,неодружений(а),має посвідчення водія категорії C,+380 (65) 061-80-91
UNIT-0124,сержант,Бабко,Павло,Ярославович,Бабко Павло Ярославович,чоловіча,01-033,командир відділення,1-ша механізована рота,2024-04-21,запас (повторний призов),2022-10-14,2022-10-16,№513,2024-04-24,командир бригади,№354,2024-11-26,командир батальйону,№495,військова служба за мобілізацією,,,на весь період мобілізації,7283268424,Паспорт громадянина України (ID-картка),,144914766,1972-09-10,місто Новояворівськ,2022-10-07,Шевченківський РТЦК та СП м. Києва,професійно-технічна,"дружина/чоловік — Галина, діти — 3",,009 96 88
